City,District,total_votes,CHP_votes,CHP_pct,AKP_votes,AKP_pct,DEM_votes,DEM_pct,MHP_votes,MHP_pct,YRP_votes,YRP_pct,ZP_votes,ZP_pct,IYIP_votes,IYIP_pct,TIP_votes,TIP_pct,BBP_votes,BBP_pct,OTH_votes,OTH_pct
Adana,Aladağ,10810.0,2099.0,19.42,4543.0,42.03,39.0,0.36,1671.0,15.46,363.0,3.36,187.0,1.73,1331.0,12.31,214.0,1.98,111.0,1.03,252.0,2.33
Adana,Ceyhan,95960.0,23781.0,24.78,30124.0,31.39,12886.0,13.43,11917.0,12.42,1070.0,1.12,1748.0,1.82,10582.0,11.03,1567.0,1.63,419.0,0.44,1866.0,1.94
Adana,Feke,10590.0,2040.0,19.26,4342.0,41.0,22.0,0.21,1955.0,18.46,372.0,3.51,181.0,1.71,1038.0,9.8,50.0,0.47,275.0,2.6,315.0,2.97
Adana,Karaisalı,15573.0,1964.0,12.61,7330.0,47.07,66.0,0.42,3423.0,21.98,326.0,2.09,301.0,1.93,1750.0,11.24,50.0,0.32,116.0,0.74,247.0,1.59
Adana,Karataş,14995.0,6263.0,41.77,2871.0,19.15,730.0,4.87,2408.0,16.06,116.0,0.77,164.0,1.09,1629.0,10.86,580.0,3.87,37.0,0.25,197.0,1.31
Adana,Kozan,83513.0,14495.0,17.36,33598.0,40.23,397.0,0.48,10807.0,12.94,2847.0,3.41,2086.0,2.5,12282.0,14.71,362.0,0.43,4911.0,5.88,1728.0,2.07
Adana,Pozantı,13317.0,3169.0,23.8,5283.0,39.67,122.0,0.92,2234.0,16.78,271.0,2.03,281.0,2.11,1498.0,11.25,95.0,0.71,101.0,0.76,263.0,1.97
Adana,Saimbeyli,8648.0,1060.0,12.26,3554.0,41.1,19.0,0.22,1804.0,20.86,300.0,3.47,146.0,1.69,595.0,6.88,29.0,0.34,960.0,11.1,181.0,2.09
Adana,Sarıçam,128896.0,25538.0,19.81,43806.0,33.99,5097.0,3.95,26558.0,20.6,3273.0,2.54,4072.0,3.16,14998.0,11.64,1817.0,1.41,1074.0,0.83,2663.0,2.07
Adana,Seyhan,476233.0,147042.0,30.88,132317.0,27.78,75938.0,15.95,37052.0,7.78,6996.0,1.47,8816.0,1.85,43629.0,9.16,12989.0,2.73,2243.0,0.47,9211.0,1.93
Adana,Tufanbeyli,10804.0,2485.0,23.0,3434.0,31.78,29.0,0.27,2823.0,26.13,375.0,3.47,187.0,1.73,1112.0,10.29,68.0,0.63,105.0,0.97,186.0,1.72
Adana,Yumurtalık,12036.0,3270.0,27.17,3992.0,33.17,138.0,1.15,2122.0,17.63,107.0,0.89,204.0,1.69,1711.0,14.22,209.0,1.74,82.0,0.68,201.0,1.67
Adana,Yüreğir,223899.0,56760.0,25.35,82581.0,36.88,28856.0,12.89,20290.0,9.06,4855.0,2.17,4074.0,1.82,16713.0,7.46,4418.0,1.97,1109.0,0.5,4243.0,1.9
Adana,Çukurova,255398.0,103838.0,40.66,53564.0,20.97,9312.0,3.65,23007.0,9.01,3333.0,1.31,6704.0,2.62,40881.0,16.01,8865.0,3.47,1296.0,0.51,4598.0,1.8
Adana,İmamoğlu,17606.0,3171.0,18.01,7085.0,40.24,412.0,2.34,3881.0,22.04,446.0,2.53,346.0,1.97,1750.0,9.94,73.0,0.41,127.0,0.72,315.0,1.79
Adıyaman,Besni,39274.0,8827.0,22.48,18267.0,46.51,3355.0,8.54,3092.0,7.87,1024.0,2.61,330.0,0.84,0.0,0.0,0.0,0.0,517.0,1.32,3862.0,9.83
Adıyaman,Gerger,8055.0,691.0,8.58,5901.0,73.26,442.0,5.49,140.0,1.74,663.0,8.23,26.0,0.32,0.0,0.0,0.0,0.0,48.0,0.6,144.0,1.79
Adıyaman,Gölbaşı,26019.0,7660.0,29.44,12051.0,46.32,1323.0,5.08,2019.0,7.76,636.0,2.44,343.0,1.32,0.0,0.0,0.0,0.0,179.0,0.69,1808.0,6.95
Adıyaman,Kahta,69205.0,4939.0,7.14,46836.0,67.68,8719.0,12.6,1004.0,1.45,4475.0,6.47,213.0,0.31,0.0,0.0,0.0,0.0,393.0,0.57,2626.0,3.79
Adıyaman,Merkez,144055.0,32475.0,22.54,65262.0,45.3,21873.0,15.18,5087.0,3.53,5916.0,4.11,957.0,0.66,0.0,0.0,0.0,0.0,1804.0,1.25,10681.0,7.41
Adıyaman,Samsat,3841.0,284.0,7.39,2565.0,66.78,312.0,8.12,292.0,7.6,115.0,2.99,10.0,0.26,0.0,0.0,0.0,0.0,27.0,0.7,236.0,6.14
Adıyaman,Sincik,9955.0,278.0,2.79,7122.0,71.54,204.0,2.05,402.0,4.04,1838.0,18.46,15.0,0.15,0.0,0.0,0.0,0.0,25.0,0.25,71.0,0.71
Adıyaman,Tut,5582.0,1501.0,26.89,2734.0,48.98,209.0,3.74,547.0,9.8,227.0,4.07,36.0,0.64,0.0,0.0,0.0,0.0,129.0,2.31,199.0,3.57
Adıyaman,Çelikhan,8953.0,1742.0,19.46,4543.0,50.74,1533.0,17.12,345.0,3.85,393.0,4.39,25.0,0.28,0.0,0.0,0.0,0.0,46.0,0.51,326.0,3.64
Afyonkarahisar,Bayat,4838.0,1033.0,21.35,2113.0,43.68,16.0,0.33,733.0,15.15,116.0,2.4,80.0,1.65,508.0,10.5,7.0,0.14,125.0,2.58,107.0,2.21
Afyonkarahisar,Başmakçı,6646.0,1806.0,27.17,2775.0,41.75,11.0,0.17,943.0,14.19,48.0,0.72,116.0,1.75,779.0,11.72,13.0,0.2,37.0,0.56,118.0,1.78
Afyonkarahisar,Bolvadin,27621.0,4470.0,16.18,13027.0,47.16,72.0,0.26,5467.0,19.79,771.0,2.79,589.0,2.13,2495.0,9.03,41.0,0.15,376.0,1.36,313.0,1.13
Afyonkarahisar,Dazkırı,7889.0,1811.0,22.96,3195.0,40.5,15.0,0.19,1388.0,17.59,101.0,1.28,190.0,2.41,947.0,12.0,21.0,0.27,60.0,0.76,161.0,2.04
Afyonkarahisar,Dinar,30453.0,7627.0,25.05,11592.0,38.07,118.0,0.39,4919.0,16.15,438.0,1.44,627.0,2.06,4334.0,14.23,57.0,0.19,244.0,0.8,497.0,1.63
Afyonkarahisar,Emirdağ,22312.0,5581.0,25.01,8799.0,39.44,156.0,0.7,4120.0,18.47,431.0,1.93,467.0,2.09,2210.0,9.9,62.0,0.28,159.0,0.71,327.0,1.47
